user_id_str,full_text
181203543,Kata yang sering dipakai sebagai bahasa pergaulan di Luwuk Banggai : - Kau = Ngana/Nga - Pergi = Pigi/Pi - Tidak = Te - Bohong = Lekos - Saya = Sa - Mereka = Dorang - Dengan = Deng - Siapa = Sapa - Punya = Pe - Sial = Soe - Intip = Lidi Lanjut
61746026,Tour Sulut (Kotamobagu-Bitung-Manado) selesai sisa Tour Sulteng (Luwuk-Ampana-Poso-Palu) dan langsung lanjut balik Jakarta. capek nya gue bikin orglain sakit hati 
1274745313144631297,Ketika baru tinggal di sini: Oh Bapak dari Sulsel? Dari Makassar dong? (Padahal Sulsel itu LUAAAS gak cuman makassar doang) Hampir dua tahun di sini: Bapak dari mana? Luwu? Oh Luwuk? Pake K atau tdk pake K Pak? Skrg udah paham geografis &amp; demografis di Sulawesi :D
89649751,Kibong ngirim vn konser ran di Medan aku yg nyanyi sing a long di kamar kosan Luwuk wkwkw 
838298309294903296,3 jenis kopi khas indo kopi luwuk kopi toraja kopi lampung. I have one of those the original one if u want to try kopi tumbuk khas lampung come to my house
559564971,STNK mobil sama motor kebawa sampe ke Luwuk jd dr hari senin sampe td yg bawa motor sama mobil gak bawa STNK untung gak ada razia 
147498779,yak ditinggal dinas 2 minggu suramadu dan luwuk sulawesi
1064795290249551873,jarak manado-luwuk bisa ga si di percepat jdi 30 menit ajaaa ? 
164959055,LUWUK NYAMAN BANGET BGST
128556683,Ini Luwuk dah 2 bulan gloomy banget cuaca.. tiap tidur dah g pernah pake AC lagi saking dinginnya
1206117213423325186,Pas diblg tgl 11 gajadi balik ke luwuk rasanya semangat yea 2 minggu disini
98336695,Teman2 saya sedang di Luwuk Banggai mupeng jadinya
318411580,Selama jaga di IGD RSU Luwuk menyenangkan sih aamiin moga menyenangkannya terus-terusan sebangsal bangsalnya juga (karena baru minggu ke-3 stase perawatan) 
1018553590221189120,Dishub sama Satlantas di Luwuk ini rajin betul amankan lalulintas klo acara seremonial tapi mobil parkir serampanhan di badan jalan dicueki
1272449987637415938,Soal palu collab dgn soal luwuk sesak dadaku ba liat reels nya drg 2 ini. Ah 
1047685137649917952,di GOR Kilongan Luwuk Kab. Banggai. Di fase grup Tim Futsal Lapas Luwuk menang tipis 2 : 1 atas Bandara FC usai gol dari Lionel dan Ai Fadly. Lanjut ke babak 8 besar Tim futsal Lapas Luwuk Fc menang telak 5 : 1 atas Tim STPDN oleh 4 gol dari Kevin dan 1 gol dari Lionel sehingga
1166351114217971714,Padahal rencananya hari ini mau ke pantai yg di Luwuk tp dari pagi udah ujan aja 
318411580,Dimana bisa nemuin teh tarik di Luwuk ini ya
74951682,Loak luwak luwuk ...
19175939,ada open trip ke luwuk banggai ga sih?
1227421320,Please yang doanya manjur doain di Luwuk hujan please guys kalo beneran ujan gua bayar 50 ribu
969412328318844928,Jap skrg ni rambang mata. Labuan bajo nak pergi luwuk sulawesi pun nak jugak! moneyyy come to mama haha
318411580,Bahkan gw selimutan tanpa AC ON yea what a day in Luwuk loh ya.
318411580,Luwuk ini dinginnya ya Allah
457181212,Inginku bangun gramedia di Luwuk 
1.4196E+18,bakal kangen luwuk:(
1615826677728415745,0851-7447-2748 (WA) Jasa Desain Rumah Luwuk#JasaDesainRumahLuwuk
1676798084318392320,0811-3753-55 (TERBAIK) Jual Kerupuk Melinjo Asli Jambu Luwuk#JualKerupukMelinjoAsliJambuLuwuk
1301680897,orang luwuk bilang SUAK ngana 
717478404,Tumben luwuk dingin banget jadi kangen pulang oii
1227421320,Anjing ni luwuk hujan mulu babii
1092721689077510144,luwuk-ampana-pasokan-dolong-marisa-gorontalo isi puru lagi tida baik baik saja
318411580,Dingin bgt Luwuk 24*C
279909142,kalo di Jawa ada kakean polah maka di Luwuk ada makan puji
318411580,Bring Solaria to Luwuk rn!
1069564285485899777,luwuk toxicity
1677892158421090304,Akun ini dibuat untuk publikasi kegiatan KKN Tematik 2023 di Desa Jambu Luwuk. -Kelompok 9 09 Juli 2023
1568094849144061952,Kesel banget gue dari jakarta ke jepang sama jakarta luwuk. bisa cuma beda 500 anjing goblog
1058980665788575744,Seandainya pada tau niat icul kelar urusan di Semarang mau balik ke Luwuk biar ada yg nemenin ngurusin mama papa disana hehe
318411580,Nangis banget emg ongkir ke Luwuk ini Rp83.000 00 kena potongan Rp78.000 00 ya lumayan lah ya
318411580,Dah akhirnya gue CO seadanya pake ongkir Rp0 - ke Luwuk daripada nunggu diskonan asu ini bikin badmood seharian 
216910707,tiket pesawat Luwuk - Gorontalo te maso akal depe harga
108471261,Rindu sekali sama Bali dan Luwuk Tuhannnnnnnnnnnn
1133767029784055808,besok arisan keluarga besar tapi aku malah berangkat ke luwuk : 
223414952,enak kali gangguin anak luwuk satu ini
571484051,Pagi ini: ji km bisa ga site visit tgl 18 ke luwuk alias sulteng LU KIRA AJA baru 4hr nginjek rumah
64378546,Tiba tiba di otak ada kata luwuk banggai terus searching ternyata nama daerah di Sulawesi Kenapa tiba tiba muncul kata itu di otak? penyebabnya apa ya? Nginget nginget sampe sekarang belum nemu jawabannya
957516834223284224,Kmrn pas doi udh di Luwuk bisa vc 3 hari berturut turut aja gua udh bersyukur soalnya jarang banget biasanya seminggu sekali meskipun lagi tidak sailing wkwkwkw eh sekarang udah ilang lagi
1643066415568793600,Jufus Hamka Vs Negara Tidak Taat Hukum @narasi @lambe @CNN Indonesia ayo viralkan #NegaraKokTidakTaatHukum
593578976,Di Luwuk itu yang ramainya di Luwuk? Banggai Kepulauan? Atau Banggai?
207344124,Pengin ikutan flexing tapi foto terjauh cuma di Luwuk Banggai.
318411580,Kalo ada nominasi warga dengan ngambil uang di ATM terlama Luwuk bisa jadi masuk nominasi sih.
1444956385658093574,Sahabat di Luwuk Makassar pernah bilang Sebaik-baiknya obat adalah membaca tulisan sendiri . Diingatkan juga sama spv demikian dan baru pagi ini sempat baca draft lagi. Another connected dots! ️
1479467377754460162,ulo luwuk
4853788294,loker spv hse luwuk gaji 10jt minat dm ygy cepet2 aja lesgoo !!
1226556466238128128,Alhamdulillah gajadi trip ke Luwuk Banggai Padahal loker udah dipenuhin cemilan...
1438059918481768449,Lapas Tolitoli terima Napi Pindahan dari Lapas Luwuk
1226556466238128128,Busett direncanakan bakal ada trip Gresik - Luwuk Banggai (-+935 miles)... Yg deket2 aja napa bngsaddd! 
40653395,PENGEN NONTON BARASUARA LIVE LAGI AJGGG MAIN KEK KE LUWUK
2489419374,Kenapa gk dari dulu minta pindah luwuk aja ya
188650843,Kalau acara kapurung-an gini mau di jkt bekasi palopo sampe luwuk kerjaan gua cuman bulet2in sama nyuci piring dah
1438059918481768449,LAPAS TOLITOLI TERIMA 55 WARBINPAS PINDAHAN DARI LAPAS LUWUK
1516140014530293762,muda mudi luwuk maennya pada kemanasi sepi amat
15580664,Kapanlah bisa ke Luwuk... air terjun Piala bagus banget
99831052,Menurut aku snorkeling di pink beach kurang oke jadi next kalo mau snorkling mending ke kenawa atau taka makassar sih kalo di pink beach itu yg dijual pemandangannya aja yg pasir pink bukan bawah lautnya.. soalnya sama luwuk aja masih jauh nih pink beach
1254118686,Ngelewatin jalur lintas luwuk tanpa mabuk darat itu agak mustahil sepertinya
1037296364722388992,Prioritaskan Layanan Publik Berbasis HAM Kanwil Kemenkumham Sulteng Gelar Rapat Evaluasi dan Pelatihan Bahasa Isyarat pada Jajarannya
1037296364722388992, FMD KANWIL KEMENKUMHAM SULTENG 
40653395,BANGGA SAMA KOTAK! dijalan naik turun luwuk dia masih dpt 1:14 6 HAHAHAHA yezzz welkam to pengiritan lyfe~
128556683,Senin : luwuk - Ampana 5 jam Selasa : Ampana - Poso 4 jam Rabu : Poso - Tentena 1.5 jam Kamis : trip tentena Jumat : Tentena - Ampana 5 jam Sabtu : ampana - Togean 2 jam Minggu : togean - Ampana 2 jam Senin : Ampana - Luwuk 5 jam Baru selasa dah pegel cuy
496668394,luwuk keren parah 
58406644,Semenjak adek gue lulus tahun 2016 belom pernah 1x pun gue nganter dia ke bandara buat sign on. Pengeen banget tp gue kerja di Sulawesi. Dan besok adek gue sign on di Luwuk. Transit makassar dari jakarta!!! Hehehehehehehe
318411580,Bukan Luwuk namanya kalo ga mati lampu zz
85067824,Sombori - Labengki Luwuk - Banggai. Semoga ada rezeki main kesana 
318411580,Tiara Andini pls ke Luwuk Sulteng dong Slank aja bisa kok yuk!! @initiaraandini
40653395,ya Allah ini toima cuma di survey doang tp ya kok panasnya lebihin luwuk ya di biak aja boleh kan:))
488199197,38 jam manado-palu-luwuk
40653395,PERNAH GAK SIH LO KEPANASAN BANGET SAMPE CELANA LO ANYEP? LUWUK PANAS BGT ANJJJJ
1530126137221070848,Baru juga 60 harinya om yg satu eh tua mso RS Luwuk juga. Pulang palu krna soaso kuliah eh tua juga di rujuk kpalu blum satu Minggu di palu pulang lgi krna tua so tda ada 
1530126137221070848,harap harap pulang luwuk sehat samua. Trang syang tua tapi tuhan Lebe sayang
1037296364722388992,GELAR OPINI KEBIJAKAN KANWIL KEMENKUMHAM SULTENG INFORMASIKAN IMPLEMENTASI PERLINDUNGAN DATA PRIBADI LAYANAN KEIMIGRASIAN
58406644,Makassar - Jakarta Jakarta - Makassar Senin : Makassar - Balikpapan Selasa : Balikpapan - Makassar Rabu : Makassar - Bali Minggu : Bali - Makassar Selasa : Makassar - Luwuk Kamis : Luwuk - Makassar Jumat : Makassar - Jakarta Minggu : Jakarta - Makassar
1037296364722388992,SHDP KANWIL KEMENKUMHAM SULTENG GELAR DHARMA SANTI RAYAKAN HARI RAYA NYEPI TAHUN BARU CAKKA 1945
58406644,Baru bisa napas setelah kelar acara luwuk ga sih ?
549305947,lagi libur malah kantor kelabakan karena mcu di luwuk ditolak asdfshsjsjsk
